Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1u","C_0402_1005Metric",-87.909400,-94.615000,270.000000,bottom
"C2","0.1u","C_0402_1005Metric",-85.547200,-82.524600,295.000000,bottom
"C3","0.1u","C_0402_1005Metric",-84.632800,-106.349800,245.000000,bottom
"C4","10u","C_0402_1005Metric",-82.194400,-87.630000,0.000000,bottom
"Q1","BC547","SOT-23",-70.459600,-80.772000,270.000000,bottom
"R1","0E","R_0402_1005Metric",-58.826400,-87.630000,0.000000,bottom
"R2","10k","R_0402_1005Metric",-87.909400,-92.354400,270.000000,bottom
"R3","10k","R_0402_1005Metric",-84.658200,-80.594200,295.000000,bottom
"R4","10k","R_0402_1005Metric",-85.521800,-104.419400,245.000000,bottom
"R5","1K","R_0402_1005Metric",-68.072000,-80.365600,270.000000,bottom
"R6","10K","R_0402_1005Metric",-72.872600,-80.162400,90.000000,bottom
"S1","EVQ-P7A01P","EVQP7J01P",-90.068400,-93.243400,270.000000,bottom
"S2","EVQ-P7A01P","EVQP7J01P",-86.995000,-80.391000,295.000000,bottom
"S3","EVQ-P7A01P","EVQP7J01P",-87.198200,-106.045000,245.000000,bottom
"C6","4.7u","C_0402_1005Metric",71.056500,-91.948000,180.000000,top
"C7","0.1u","C_0402_1005Metric",80.543400,-96.189800,0.000000,top
"C8","0.1u","C_0402_1005Metric",71.729600,-93.472000,270.000000,top
"C9","0.1u","C_0402_1005Metric",80.543400,-95.097600,0.000000,top
"C10","0.1u","C_0402_1005Metric",62.915800,-96.570800,180.000000,top
"C11","1u","C_0402_1005Metric",61.315600,-95.529400,270.000000,top
"C12","0.1u","C_0402_1005Metric",67.414000,-96.164400,0.000000,top
"C13","0.1u","C_0402_1005Metric",80.594200,-90.462100,0.000000,top
"C14","10u","C_0402_1005Metric",70.459600,-84.759800,180.000000,top
"C15","10u","C_0402_1005Metric",66.065400,-85.877400,210.000000,top
"C16","10u","C_0402_1005Metric",74.574400,-86.207600,0.000000,top
"C17","10u","C_0402_1005Metric",74.853800,-101.092000,30.000000,top
"C18","10u","C_0402_1005Metric",70.459600,-102.171500,0.000000,top
"C19","10u","C_0402_1005Metric",66.065400,-101.092000,330.000000,top
"D1","LED","LED_0402_1005Metric",70.459600,-93.472000,90.000000,top
"D2","LED","LED_0402_1005Metric",70.459600,-83.566000,0.000000,top
"D3","LED","LED_0402_1005Metric",65.481200,-84.836000,210.000000,top
"D4","LED","LED_0402_1005Metric",73.888600,-80.721200,75.000000,top
"D5","LED","LED_0402_1005Metric",70.459600,-106.705400,270.000000,top
"D6","LED","LED_0402_1005Metric",67.030600,-106.248200,255.000000,top
